Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,time,group,SRA Study,treatment,strain,tissue
SRR6436172,RNA-Seq,202,8275981612,PRJNA428303,SAMN08287098,2793235068,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527642,GSM2911220,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911220,ZT16,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436173,RNA-Seq,202,10960010960,PRJNA428303,SAMN08287097,6188642280,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527643,GSM2911221,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911221,ZT20,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436174,RNA-Seq,202,11762115792,PRJNA428303,SAMN08287096,6538309070,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527644,GSM2911222,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911222,ZT20,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436175,RNA-Seq,202,8121274054,PRJNA428303,SAMN08287095,2696150638,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527645,GSM2911223,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911223,ZT20,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436176,RNA-Seq,202,10952900156,PRJNA428303,SAMN08287094,6078791619,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527646,GSM2911224,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911224,ZT0,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436177,RNA-Seq,202,8595294930,PRJNA428303,SAMN08287093,2851231636,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527647,GSM2911225,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911225,ZT0,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436178,RNA-Seq,202,8663668900,PRJNA428303,SAMN08287092,2874462472,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527648,GSM2911226,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911226,ZT0,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436179,RNA-Seq,202,10095288350,PRJNA428303,SAMN08287091,5608078477,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527649,GSM2911227,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911227,ZT4,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436180,RNA-Seq,202,7976700836,PRJNA428303,SAMN08287090,3644966106,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527650,GSM2911228,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911228,ZT4,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
SRR6436181,RNA-Seq,202,8678195326,PRJNA428303,SAMN08287089,2878292416,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527651,GSM2911229,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911229,ZT4,HFD,SRP127946,"12 wk High Fat Diet (Research Diet\, D12331)",C57BL/6J,liver
